filename,replica,provider,model_requested,model_snapshot,timestamp_utc,latency_s,pred_time,pred_space,justification,error
BinarySearchOptimized.java,1,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,2026-08-03T11:17:40Z,9.248,O(n^2),O(1),"El método implementa un ordenamiento tipo burbuja sobre un arreglo de tamaño n. Hay dos bucles anidados: el externo ejecuta aproximadamente n iteraciones y el interno ejecuta hasta n - i iteraciones. En total se realizan del orden de n(n-1)/2 comparaciones e intercambios en el peor caso, por lo que la",
BinarySearchOptimized.java,2,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,2026-08-03T11:17:50Z,3.794,O(n^2),O(1),"El método implementa un ordenamiento tipo burbuja con dos bucles anidados. El bucle externo ejecuta aproximadamente n iteraciones y el interno ejecuta hasta n - i iteraciones, dando un total proporcional a n(n-1)/2 comparaciones e intercambios en el peor caso.",
BinarySearchOptimized.java,3,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,2026-08-03T11:17:55Z,4.136,O(n^2),O(1),"El método implementa un ordenamiento tipo burbuja. El bucle externo ejecuta aproximadamente n iteraciones y el bucle interno ejecuta hasta n - i - 1 iteraciones. El total de comparaciones es proporcional a n(n-1)/2, por lo que en el peor caso la",
ProcessEachElement.java,1,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,2026-08-03T11:18:00Z,4.631,O(log n),O(1),"El bucle `while` divide `n` entre 2 en cada iteración hasta que `n <= 1`. Por tanto, el número de iteraciones crece proporcionalmente a log₂(n), y cada iteración realiza operaciones constantes.",
ProcessEachElement.java,2,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,2026-08-03T11:18:06Z,7.125,O(log n),O(1),"El bucle `while` divide `n` entre 2 en cada iteración hasta que `n <= 1`, por lo que ejecuta aproximadamente `log₂(n)` iteraciones. Cada iteración realiza operaciones constantes.",
ProcessEachElement.java,3,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,2026-08-03T11:18:14Z,3.765,O(log n),O(1),"El bucle `while` divide `n` entre 2 en cada iteración hasta que `n <= 1`, por lo que ejecuta aproximadamente `log2(n)` iteraciones. Cada iteración realiza operaciones constantes.",
RecursiveExpansion.java,1,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,2026-08-03T11:18:19Z,10.839,O(n),O(n),"El método calcula recursivamente valores tipo Fibonacci usando memoización. En el peor caso, con la caché inicialmente vacía, cada valor desde n hasta 0 se calcula como máximo una vez y luego se reutiliza en tiempo constante. Por tanto, el número de subproblemas distintos es lineal en n.",
RecursiveExpansion.java,2,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,2026-08-03T11:18:31Z,6.689,O(n),O(n),"El método calcula recursivamente valores tipo Fibonacci usando memoización en `cache`. En el peor caso, cuando la caché está vacía, cada valor desde `0` hasta `n` se calcula como máximo una vez. Aunque hay dos llamadas recursivas, los resultados ya calculados se reutilizan, evitando una expansión exponencial. Por tanto, el número dominante de operaciones crece linealmente con `n`.",
RecursiveExpansion.java,3,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,2026-08-03T11:18:38Z,10.933,O(n),O(n),"El método calcula recursivamente una expansión tipo Fibonacci usando memoización. En el peor caso, cuando `cache` está vacío, cada valor `expand(k)` para `k` desde `2` hasta `n` se calcula una sola vez y luego se reutiliza desde el arreglo `cache`. Por tanto, aunque la recurrencia sin memoización sería exponencial, con cache el número de cálculos distintos crece linealmente con `n`.",
ScanAllElements.java,1,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,2026-08-03T11:18:50Z,7.323,O(log n),O(1),"El parámetro n es data.length. El bucle inicia con i = 1 y en cada iteración duplica su valor mediante i *= 2, por lo que visita índices 1, 2, 4, 8, etc., hasta que i >= n. El número de iteraciones crece logarítmicamente con n.",
