algo_id,language,filename,path,algorithm,worst_case_time,space_complexity,source
ALG_001,Java,SumFormula.java,corpus/java/SumFormula.java,Suma de los primeros n enteros (formula de Gauss),O(1),O(1),Formula cerrada de Gauss; numero constante de operaciones aritmeticas.
ALG_002,C#,IsEven.cs,corpus/csharp/IsEven.cs,Comprobacion de paridad de un entero,O(1),O(1),Operacion aritmetica unica sobre un dato de tamano fijo.
ALG_003,Java,SwapValues.java,corpus/java/SwapValues.java,Intercambio de dos valores en un arreglo,O(1),O(1),Numero constante de accesos indexados y asignaciones.
ALG_004,C#,ArrayMiddle.cs,corpus/csharp/ArrayMiddle.cs,Acceso al elemento central de un arreglo,O(1),O(1),Acceso indexado directo en memoria contigua.
ALG_005,Java,BinarySearchIterative.java,corpus/java/BinarySearchIterative.java,Busqueda binaria iterativa,O(log n),O(1),"Cormen et al. (2022), Introduction to Algorithms, 4th ed. El espacio de busqueda se reduce a la mitad en cada iteracion."
ALG_006,C#,BinarySearchRecursive.cs,corpus/csharp/BinarySearchRecursive.cs,Busqueda binaria recursiva,O(log n),O(log n),Cormen et al. (2022). Recurrencia T(n)=T(n/2)+O(1); espacio por la pila de recursion.
ALG_007,Java,FastPower.java,corpus/java/FastPower.java,Exponenciacion binaria (exponentiation by squaring),O(log n),O(1),El exponente se divide entre dos en cada iteracion.
ALG_008,C#,EuclidGcd.cs,corpus/csharp/EuclidGcd.cs,Maximo comun divisor por algoritmo de Euclides,O(log n),O(1),"Knuth, The Art of Computer Programming, Vol. 2. El numero de iteraciones es logaritmico en el menor de los operandos."
ALG_009,Java,CountDigits.java,corpus/java/CountDigits.java,Conteo de digitos decimales de un entero,O(log n),O(1),El valor se divide entre 10 en cada iteracion.
ALG_010,C#,HeapInsert.cs,corpus/csharp/HeapInsert.cs,Insercion en monticulo binario (sift-up),O(log n),O(1),"Cormen et al. (2022), capitulo de Heapsort. La reubicacion recorre a lo sumo la altura del monticulo."
ALG_011,Java,LinearSearch.java,corpus/java/LinearSearch.java,Busqueda lineal en arreglo no ordenado,O(n),O(1),Cormen et al. (2022). En el peor caso recorre todo el arreglo.
ALG_012,C#,ArraySum.cs,corpus/csharp/ArraySum.cs,Suma acumulada de los elementos de un arreglo,O(n),O(1),Recorrido unico del arreglo.
ALG_013,Java,FindMax.java,corpus/java/FindMax.java,Busqueda del maximo en un arreglo,O(n),O(1),Cormen et al. (2022). Requiere inspeccionar cada elemento.
