case_id,categoria_ref
CASE_CODE_JAVA_043,structural
CASE_CODE_JAVA_058,functional
CASE_CODE_CS_011,structural
CASE_CODE_JAVA_039,structural
CASE_CODE_CS_009,identical
CASE_CODE_CS_057,identical
CASE_CODE_JAVA_022,functional
CASE_CODE_CS_040,different
CASE_CODE_JAVA_015,structural
CASE_CODE_CS_002,functional
CASE_CODE_JAVA_007,structural
CASE_CODE_CS_021,identical
CASE_CODE_JAVA_044,different
CASE_CODE_CS_030,functional
CASE_CODE_CS_037,identical
CASE_CODE_CS_008,different
CASE_CODE_CS_060,different
CASE_CODE_CS_022,functional
CASE_CODE_CS_005,identical
CASE_CODE_CS_042,functional
CASE_CODE_JAVA_012,different
CASE_CODE_JAVA_037,identical
CASE_CODE_CS_055,structural
CASE_CODE_JAVA_016,different
CASE_CODE_JAVA_011,structural
CASE_CODE_CS_003,structural
CASE_CODE_CS_026,functional
CASE_CODE_CS_001,identical
CASE_CODE_JAVA_020,different
CASE_CODE_JAVA_060,different
CASE_CODE_JAVA_056,different
CASE_CODE_CS_023,structural
CASE_CODE_JAVA_009,identical
CASE_CODE_CS_034,functional
CASE_CODE_JAVA_017,identical
CASE_CODE_CS_059,structural
CASE_CODE_CS_036,different
CASE_CODE_CS_033,identical
CASE_CODE_JAVA_005,identical
CASE_CODE_CS_053,identical
CASE_CODE_JAVA_053,identical
CASE_CODE_CS_044,different
CASE_CODE_CS_010,functional
CASE_CODE_JAVA_045,identical
CASE_CODE_CS_041,identical
CASE_CODE_CS_006,functional
CASE_CODE_JAVA_041,identical
CASE_CODE_CS_032,different
CASE_CODE_CS_051,structural
CASE_CODE_JAVA_040,different
CASE_CODE_JAVA_048,different
CASE_CODE_CS_045,identical
CASE_CODE_JAVA_006,functional
CASE_CODE_JAVA_054,functional
CASE_CODE_JAVA_032,different
CASE_CODE_JAVA_046,functional
CASE_CODE_CS_027,structural
CASE_CODE_CS_056,different
CASE_CODE_JAVA_018,functional
CASE_CODE_JAVA_038,functional
CASE_CODE_JAVA_023,structural
CASE_CODE_CS_054,functional
CASE_CODE_JAVA_029,identical
CASE_CODE_JAVA_024,different
CASE_CODE_JAVA_059,structural
CASE_CODE_JAVA_042,functional
CASE_CODE_CS_047,structural
CASE_CODE_JAVA_025,identical
CASE_CODE_JAVA_047,structural
CASE_CODE_CS_048,different
CASE_CODE_CS_018,functional
CASE_CODE_CS_029,identical
CASE_CODE_JAVA_035,structural
CASE_CODE_CS_058,functional
CASE_CODE_JAVA_030,functional
CASE_CODE_CS_043,structural
CASE_CODE_CS_004,different
CASE_CODE_CS_015,structural
CASE_CODE_JAVA_051,structural
CASE_CODE_JAVA_036,different
CASE_CODE_JAVA_014,functional
CASE_CODE_CS_007,structural
CASE_CODE_JAVA_033,identical
CASE_CODE_CS_016,different
CASE_CODE_JAVA_010,functional
CASE_CODE_CS_049,identical
CASE_CODE_JAVA_028,different
CASE_CODE_JAVA_002,functional
CASE_CODE_CS_052,different
CASE_CODE_CS_031,structural
CASE_CODE_JAVA_001,identical
CASE_CODE_JAVA_057,identical
CASE_CODE_JAVA_008,different
CASE_CODE_CS_020,different
CASE_CODE_JAVA_034,functional
CASE_CODE_JAVA_004,different
CASE_CODE_JAVA_049,identical
CASE_CODE_JAVA_027,structural
CASE_CODE_CS_017,identical
CASE_CODE_CS_046,functional
CASE_CODE_JAVA_021,identical
CASE_CODE_CS_019,structural
CASE_CODE_CS_014,functional
CASE_CODE_JAVA_052,different
CASE_CODE_CS_013,identical
CASE_CODE_JAVA_031,structural
CASE_CODE_CS_038,functional
CASE_CODE_JAVA_003,structural
CASE_CODE_JAVA_013,identical
CASE_CODE_CS_024,different
CASE_CODE_CS_025,identical
CASE_CODE_JAVA_055,structural
CASE_CODE_JAVA_050,functional
CASE_CODE_JAVA_019,structural
CASE_CODE_CS_050,functional
CASE_CODE_CS_035,structural
CASE_CODE_CS_028,different
CASE_CODE_CS_012,different
CASE_CODE_CS_039,structural
CASE_CODE_JAVA_026,functional
