case_id,language,category,author_provider,judge_provider,judge_model,judge_snapshot,replica,timestamp_utc,latency_s,n_palabras_just,correccion,especificidad,explicacion,utilidad,comentario,error
CASE_CODE_JAVA_030,Java,funcional,deepseek,anthropic,claude-opus-5,claude-opus-5,1,2026-08-01T15:44:56Z,15.079,50,82.0,18.0,28.0,30.0,"La aritmética de la ponderación (40+3+5+4=52) es correcta y la equivalencia de salida ('1500.0 metros = 1.5 ... Resultado grande') se verifica, pero el texto no cita ni un solo elemento concreto (HashMap de factores, cadena if-else, ternario, encapsulamiento en clase) ni justifica de dónde salen los",
CASE_CODE_JAVA_030,Java,funcional,gemini,anthropic,claude-opus-5,claude-opus-5,1,2026-08-01T15:45:13Z,10.549,72,72.0,22.0,35.0,33.0,"La aritmética de la ponderación es correcta y las afirmaciones generales (refactorización a POO, conservación de constantes y propósito) son verificables, pero nunca se citan elementos concretos (HashMap de factores, cadena if-else, ternarios, valores 1609.34/3.28084) ni se justifica de dónde salen ",
CASE_CODE_CS_033,C#,identico,gemini,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T15:45:25Z,33.598,36,100.0,0.0,15.0,5.0,La afirmación de que los fragmentos son copias exactas es correcta; no hay afirmaciones falsas.,
CASE_CODE_CS_032,C#,diferente,deepseek,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,2026-08-01T15:45:59Z,9.028,72,100.0,50.0,60.0,50.0,El texto es correcto pero genérico; justifica la puntuación a alto nivel sin mencionar los dominios específicos (votación y tareas) ni las diferencias estructurales concretas.,
CASE_CODE_CS_056,C#,diferente,deepseek,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,2026-08-01T15:46:10Z,15.635,56,20.0,0.0,0.0,0.0,Texto completamente genérico que se limita a desglosar un cálculo matemático sin mencionar ni un solo elemento de los códigos.,
CASE_CODE_CS_056,C#,diferente,openai,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T15:46:26Z,25.343,53,100.0,85.0,80.0,85.0,Todas las afirmaciones son verificables y correctas.,
CASE_CODE_JAVA_019,Java,estructural,anthropic,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T15:46:53Z,69.123,79,30.0,30.0,65.0,70.0,"Los valores numéricos (38, 75, 52, 90) no son extraíbles de los archivos ni están justificados; se presentan como una métrica inventada no verificable.",
CASE_CODE_JAVA_034,Java,funcional,openai,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T15:48:03Z,47.021,60,90.0,85.0,50.0,50.0,No hay afirmaciones falsas; todas las observaciones sobre el código son verificables.,
CASE_CODE_JAVA_060,Java,diferente,openai,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T15:48:51Z,35.652,43,100.0,20.0,15.0,15.0,"No contiene afirmaciones falsas, pero es genérico y carece de razonamiento detallado que muestre por qué difieren en estructura o complejidad.",
CASE_CODE_CS_057,C#,identico,deepseek,anthropic,claude-opus-5,claude-opus-5,1,2026-08-01T15:49:27Z,6.555,42,95.0,12.0,40.0,42.0,"La afirmacion central (archivos identicos, 100%) es verdadera, pero el texto no cita ni un solo elemento concreto de estos archivos (List<int> numeros, calculo de suma/maximo/minimo, umbral promedio > 50) ni describe como se verifico la identidad, por lo que serviria igual para cualquier par de copi",
