filename,replica,provider,model_requested,model_snapshot,timestamp_utc,latency_s,pred_time,pred_space,justification,error
BinarySearchIterative.java,1,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,2026-08-03T11:00:28Z,5.81,O(log n),O(1),"El algoritmo realiza una búsqueda binaria sobre un arreglo ordenado de tamaño n. En cada iteración del bucle while descarta aproximadamente la mitad del espacio de búsqueda, por lo que en el peor caso ejecuta un número de iteraciones proporcional a log n.",
BinarySearchIterative.java,2,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,2026-08-03T11:00:34Z,4.678,O(log n),O(1),"El algoritmo realiza búsqueda binaria sobre un arreglo ordenado de tamaño n. En cada iteración del bucle while reduce el espacio de búsqueda aproximadamente a la mitad, por lo que en el peor caso ejecuta un número de iteraciones proporcional a log n.",
BinarySearchIterative.java,3,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,2026-08-03T11:00:40Z,4.483,O(log n),O(1),"El algoritmo implementa búsqueda binaria iterativa sobre un arreglo ordenado de tamaño n. En cada iteración del bucle while, el rango de búsqueda se reduce aproximadamente a la mitad. En el peor caso, el elemento no está presente o se encuentra al final del proceso, por lo que se realizan aproximadamente log₂(n) iteraciones, cada una con operaciones constantes.",
CountDigits.java,1,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,2026-08-03T11:00:46Z,6.301,O(log n),O(1),"El bucle divide el valor del número entre 10 en cada iteración, por lo que el número de iteraciones es proporcional a la cantidad de dígitos de n, es decir, O(log n).",
CountDigits.java,2,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,2026-08-03T11:00:53Z,9.502,O(log n),O(1),"Tomando n = |number|, el bucle divide el valor entre 10 en cada iteración, por lo que se ejecuta una vez por cada dígito decimal del número: ⌊log10(n)⌋ + 1 en el peor caso.",
CountDigits.java,3,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,2026-08-03T11:01:03Z,7.711,O(log n),O(1),"El algoritmo cuenta los dígitos de un número dividiéndolo repetidamente entre 10. Si n representa el valor absoluto del número de entrada, el bucle se ejecuta tantas veces como dígitos tenga el número, es decir, aproximadamente log10(n). Por tanto, en el peor caso la",
CountOccurrences.java,1,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,2026-08-03T11:01:12Z,3.903,O(n),O(1),"El método recorre el arreglo `data` una vez desde `i = 0` hasta `i < data.length`. Si `n` es la longitud del arreglo, se realizan `n` iteraciones y en cada una hay operaciones constantes.",
CountOccurrences.java,2,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,2026-08-03T11:01:17Z,4.837,O(n),O(1),"El método recorre el arreglo `data` una sola vez mediante un bucle `for` que ejecuta `data.length` iteraciones. En cada iteración realiza una comparación y, en el peor caso, un incremento, ambas operaciones de tiempo constante. Por tanto, el tiempo crece linealmente con n, donde n es la longitud del arreglo.",
CountOccurrences.java,3,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,2026-08-03T11:01:23Z,3.71,O(n),O(1),"El método recorre todos los elementos del arreglo `data` una sola vez, realizando una comparación constante por cada elemento. Si `n = data.length`, el número de operaciones crece linealmente con `n`.",
DfsAdjacencyMatrix.java,1,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,2026-08-03T11:01:28Z,8.45,O(n^2),O(n),"En el peor caso, el DFS visita los n vértices. Para cada vértice visitado, el bucle `for` recorre toda la fila de la matriz de adyacencia, realizando n comprobaciones. Por tanto, se realizan hasta n * n operaciones dominantes.",
DfsAdjacencyMatrix.java,2,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,2026-08-03T11:01:37Z,6.034,O(n^2),O(n),"En el peor caso, el DFS visita los n vértices alcanzables. Para cada vértice visitado, el bucle `for` recorre las n posiciones de su fila en la matriz de adyacencia. Por tanto, se realizan hasta n · n comprobaciones, dando O(n^2).",
DfsAdjacencyMatrix.java,3,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,2026-08-03T11:01:44Z,5.758,O(n^2),O(n),"En el peor caso, el DFS visita los n vértices. Para cada vértice visitado, el bucle for recorre las n posiciones de la fila correspondiente en la matriz de adyacencia. Por tanto, se realizan hasta n * n comprobaciones.",
EditDistance.java,1,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,2026-08-03T11:01:51Z,5.627,O(n^2),O(n^2),"El algoritmo calcula la distancia de edición mediante programación dinámica. Si n representa la longitud máxima entre las dos cadenas, la tabla tiene tamaño proporcional a n · n. Los bucles principales recorren todas las celdas de la tabla y cada celda se calcula en tiempo constante, por lo que el peor caso es O(n^2).",
